name,unit,date,value,desc,doc
C.03,20,07/01/2016,94.3,Clothing and footware,
C.03,20,08/01/2016,95.0,Clothing and footware,
C.03,20,09/01/2016,97.1,Clothing and footware,
C.03,20,10/01/2016,98.3,Clothing and footware,
C.03,20,11/01/2016,98.8,Clothing and footware,
C.03,20,12/01/2016,98.9,Clothing and footware,
C.03,20,01/01/2017,99.2,Clothing and footware,
C.03,20,02/01/2017,100.0,Clothing and footware,
C.03,20,03/01/2017,100.0,Clothing and footware,
C.03,20,04/01/2017,99.7,Clothing and footware,
C.03,20,05/01/2017,100.2,Clothing and footware,
C.03,20,06/01/2017,100.5,Clothing and footware,
C.03,20,07/01/2017,100.1,Clothing and footware,
C.03,20,08/01/2017,99.1,Clothing and footware,
C.03,20,09/01/2017,98.6,Clothing and footware,
C.03,20,10/01/2017,98.1,Clothing and footware,
C.03,20,11/01/2017,98.1,Clothing and footware,
C.03,20,12/01/2017,97.9,Clothing and footware,
C.03,20,01/01/2018,97.5,Clothing and footware,
C.03,20,02/01/2018,97.3,Clothing and footware,
C.03,20,03/01/2018,97.8,Clothing and footware,
C.03,20,04/01/2018,97.8,Clothing and footware,
C.03,20,05/01/2018,98.2,Clothing and footware,
C.03,20,06/01/2018,98.2,Clothing and footware,
C.03,20,07/01/2018,98.7,Clothing and footware,
C.03,20,08/01/2018,98.7,Clothing and footware,
C.03,20,09/01/2018,99.1,Clothing and footware,
C.04,20,01/01/2013,84.4,"Housing, water, electricity, gas, and other fuels",
C.04,20,02/01/2013,84.4,"Housing, water, electricity, gas, and other fuels",
C.04,20,03/01/2013,84.3,"Housing, water, electricity, gas, and other fuels",
C.04,20,04/01/2013,87.7,"Housing, water, electricity, gas, and other fuels",
C.04,20,05/01/2013,87.7,"Housing, water, electricity, gas, and other fuels",
C.04,20,06/01/2013,88.2,"Housing, water, electricity, gas, and other fuels",
C.04,20,07/01/2013,88.4,"Housing, water, electricity, gas, and other fuels",
C.04,20,08/01/2013,88.8,"Housing, water, electricity, gas, and other fuels",
C.04,20,09/01/2013,88.8,"Housing, water, electricity, gas, and other fuels",
